 PROVINCIA , LASSO , LENIN , BLANCOS , NULOS 
 Azuay ,215045,249115,3186,31291
 Bolivar ,85899,45271,1117,11145
 Canar ,72924,67730,1260,9896
 Carchi ,57251,60545,592,6382
 Cotopaxi ,170062,118488,1782,23303
 Chimborazo ,187625,125312,2164,25548
 El Oro ,192904,224389,2344,23568
 ESMERALDAS ,135918,158506,3148,24009
 GUAYAS ,1145360,1240564,18731,169334
 IMBABURA ,126498,157175,1913,21945
 LOJA ,178363,124462,1658,13057
 LOS RIOS ,211934,304873,5923,44657
 MANABI ,318855,641868,10412,73321
 MORONA SANTIAGO ,60150,32097,528,4143
 NAPO ,47111,23530,225,2526
 PASTAZA ,35268,20153,225,2731
 PICHINCHA ,934089,854543,6232,106628
 TUNGURAHUA ,217717,139748,1675,22780
 ZAMORA CHINCHIPE ,39802,23715,294,2005
 GALAPAGOS ,8462,5479,52,655
 SUCUMBIOS ,54696,55783,683,6788
 ORELLANA ,50405,40107,483,5398
 STO DOMINGO TSACHILAS ,138122,151975,1996,17936
 STA ELENA ,81783,126702,1889,12030
 EUROPA ASIA OCEANIA ,40985,48140,1165,9040
 EEUU CANADA ,18926,14550,166,1463
 AMERICA LATINA CARIBE AFRICA ,7674,5604,55,655
