PROVINCIA,PATRICIO ZUQUILANDA DUQUE,IVÁN ESPINEL MOLINA,CYNTHIA VITERI JIMENEZ,ABDALA BUCARAM,PACO MONCAYO GALLEGOS,WASHINGTON PESANTEZ MUÑOZ,GUILLERMO LASSO,LENÍN MORENO GARCÉS,VOTOS VÁLIDOS,BLANCOS,NULOS,ELECTORES,SUFRAGANTES,AUSENTISMO
AZUAY,3092,16867,3183,8397,43562,3014,144769,197081,448612,11674,31541,64651,492127,154383
BOLÍVAR,2082,2739,17148,2242,10573,1441,52249,29614,118088,6087,14701,165366,138924,26442
CAÑAR,1251,3789,23677,3983,14309,826,39018,46211,133064,5008,11833,225783,149973,7581
CARCHI,623,3398,2223,2169,11147,729,28767,43798,112861,2662,6779,143914,122354,2156
CHIMBORAZO,3427,7987,36824,5514,24883,8445,121256,79603,287939,12415,29821,409665,330314,79351
COTOPAXI,3061,8166,27291,5009,52421,3007,87709,82152,268816,11065,27948,353357,308105,45252
EL ORO,1427,10728,77833,25007,11546,1583,106731,169052,403907,8459,26446,521364,438986,82378
ESMERALDAS,1426,4021,44602,14739,16896,1416,74317,107462,264879,13394,34093,390892,31245,78442
GALÁPAGOS,46,330,2036,344,520,62,6665,4813,14816,148,678,20196,15649,4547
GUAYAS,14077,63272,604607,187796,47972,10175,489536,897359,2314794,63633,170659,3074254,2549956,524298
IMBABURA,1723,11037,36233,4809,28962,1892,69663,11693,271249,8393,22779,360023,302572,57451
LOJA,2257,6178,30403,5384,25559,164,120117,94428,285966,8287,16322,392488,310765,81723
LOS RÍOS,5438,12209,100352,40674,11367,2662,95676,212165,480543,26446,5275,636484,559979,76505
MANABÍ,5152,40473,91124,67576,38108,4878,160792,47895,887053,49453,92053,1192577,1028883,163694
MORONA SANTIAGO,823,1043,4843,767,6596,367,45059,24312,8381,3061,7185,123428,94142,29286
NAPO,2708,802,4265,753,3912,284,3679,16457,65971,1028,4877,82095,71896,10199
ORELLANA,1146,1196,6854,2135,9949,382,31269,29793,82724,282,8398,108896,93979,14917
PASTAZA,411,1176,5934,728,4956,268,24958,13815,52246,108,3773,69656,57143,12513
PICHINCHA,10793,66618,221844,27993,193415,19063,569527,659479,1768732,19732,89092,2254313,1878742,375571
SANTA ELENA,914,7874,19544,14484,4139,12,55866,95768,199789,6661,14237,239197,220785,18412
STO DGO TSÁCHILAS,2015,12091,35923,16755,11694,1825,81922,111665,27389,7925,22931,361662,304902,5676
SUCUMBÍOS,4195,2116,16175,2292,8475,539,27621,40036,101449,35,9779,137425,114779,22646
TUNGURAHUA,3214,12634,47835,9229,38273,4081,12997,98719,343955,7323,24105,449475,375537,73938
ZAMORA CHINCHIPE,363,689,7079,604,5327,245,27816,17785,59908,1401,2861,79427,64206,15221
