total,province,candidate
3092,5d5208e04272c203bb2a5a23,5d55f0ee240f0f01f917025f
2082,5d5208e04272c203bb2a5a24,5d55f0ee240f0f01f917025f
1251,5d5208e04272c203bb2a5a25,5d55f0ee240f0f01f917025f
623,5d5208e04272c203bb2a5a26,5d55f0ee240f0f01f917025f
3427,5d5208e04272c203bb2a5a27,5d55f0ee240f0f01f917025f
3061,5d5208e04272c203bb2a5a28,5d55f0ee240f0f01f917025f
1427,5d5208e04272c203bb2a5a29,5d55f0ee240f0f01f917025f
1426,5d5208e04272c203bb2a5a2a,5d55f0ee240f0f01f917025f
46,5d5208e04272c203bb2a5a2b,5d55f0ee240f0f01f917025f
14077,5d5208e04272c203bb2a5a2c,5d55f0ee240f0f01f917025f
1723,5d5208e04272c203bb2a5a2d,5d55f0ee240f0f01f917025f
2257,5d5208e04272c203bb2a5a2e,5d55f0ee240f0f01f917025f
5438,5d5208e14272c203bb2a5a2f,5d55f0ee240f0f01f917025f
5152,5d5208e14272c203bb2a5a30,5d55f0ee240f0f01f917025f
823,5d5208e14272c203bb2a5a31,5d55f0ee240f0f01f917025f
2708,5d5208e14272c203bb2a5a32,5d55f0ee240f0f01f917025f
1146,5d5208e14272c203bb2a5a33,5d55f0ee240f0f01f917025f
411,5d5208e14272c203bb2a5a34,5d55f0ee240f0f01f917025f
10793,5d5208e14272c203bb2a5a35,5d55f0ee240f0f01f917025f
914,5d5208e14272c203bb2a5a36,5d55f0ee240f0f01f917025f
2015,5d5208e14272c203bb2a5a37,5d55f0ee240f0f01f917025f
4195,5d5208e14272c203bb2a5a38,5d55f0ee240f0f01f917025f
3214,5d5208e14272c203bb2a5a39,5d55f0ee240f0f01f917025f
363,5d5208e14272c203bb2a5a3a,5d55f0ee240f0f01f917025f
16867,5d5208e04272c203bb2a5a23,5d55f0ee240f0f01f917025e
2739,5d5208e04272c203bb2a5a24,5d55f0ee240f0f01f917025e
3789,5d5208e04272c203bb2a5a25,5d55f0ee240f0f01f917025e
3398,5d5208e04272c203bb2a5a26,5d55f0ee240f0f01f917025e
7987,5d5208e04272c203bb2a5a27,5d55f0ee240f0f01f917025e
8166,5d5208e04272c203bb2a5a28,5d55f0ee240f0f01f917025e
10728,5d5208e04272c203bb2a5a29,5d55f0ee240f0f01f917025e
4021,5d5208e04272c203bb2a5a2a,5d55f0ee240f0f01f917025e
330,5d5208e04272c203bb2a5a2b,5d55f0ee240f0f01f917025e
63272,5d5208e04272c203bb2a5a2c,5d55f0ee240f0f01f917025e
11037,5d5208e04272c203bb2a5a2d,5d55f0ee240f0f01f917025e
6178,5d5208e04272c203bb2a5a2e,5d55f0ee240f0f01f917025e
12209,5d5208e14272c203bb2a5a2f,5d55f0ee240f0f01f917025e
40473,5d5208e14272c203bb2a5a30,5d55f0ee240f0f01f917025e
1043,5d5208e14272c203bb2a5a31,5d55f0ee240f0f01f917025e
802,5d5208e14272c203bb2a5a32,5d55f0ee240f0f01f917025e
1196,5d5208e14272c203bb2a5a33,5d55f0ee240f0f01f917025e
1176,5d5208e14272c203bb2a5a34,5d55f0ee240f0f01f917025e
66618,5d5208e14272c203bb2a5a35,5d55f0ee240f0f01f917025e
7874,5d5208e14272c203bb2a5a36,5d55f0ee240f0f01f917025e
12091,5d5208e14272c203bb2a5a37,5d55f0ee240f0f01f917025e
2116,5d5208e14272c203bb2a5a38,5d55f0ee240f0f01f917025e
12634,5d5208e14272c203bb2a5a39,5d55f0ee240f0f01f917025e
689,5d5208e14272c203bb2a5a3a,5d55f0ee240f0f01f917025e
31830,5d5208e04272c203bb2a5a23,5d55f0ee240f0f01f917025b
17148,5d5208e04272c203bb2a5a24,5d55f0ee240f0f01f917025b
23677,5d5208e04272c203bb2a5a25,5d55f0ee240f0f01f917025b
2223,5d5208e04272c203bb2a5a26,5d55f0ee240f0f01f917025b
36824,5d5208e04272c203bb2a5a27,5d55f0ee240f0f01f917025b
27291,5d5208e04272c203bb2a5a28,5d55f0ee240f0f01f917025b
77833,5d5208e04272c203bb2a5a29,5d55f0ee240f0f01f917025b
44602,5d5208e04272c203bb2a5a2a,5d55f0ee240f0f01f917025b
2036,5d5208e04272c203bb2a5a2b,5d55f0ee240f0f01f917025b
604607,5d5208e04272c203bb2a5a2c,5d55f0ee240f0f01f917025b
36233,5d5208e04272c203bb2a5a2d,5d55f0ee240f0f01f917025b
30403,5d5208e04272c203bb2a5a2e,5d55f0ee240f0f01f917025b
100352,5d5208e14272c203bb2a5a2f,5d55f0ee240f0f01f917025b
91124,5d5208e14272c203bb2a5a30,5d55f0ee240f0f01f917025b
4843,5d5208e14272c203bb2a5a31,5d55f0ee240f0f01f917025b
4265,5d5208e14272c203bb2a5a32,5d55f0ee240f0f01f917025b
6854,5d5208e14272c203bb2a5a33,5d55f0ee240f0f01f917025b
5934,5d5208e14272c203bb2a5a34,5d55f0ee240f0f01f917025b
221844,5d5208e14272c203bb2a5a35,5d55f0ee240f0f01f917025b
19544,5d5208e14272c203bb2a5a36,5d55f0ee240f0f01f917025b
35923,5d5208e14272c203bb2a5a37,5d55f0ee240f0f01f917025b
16175,5d5208e14272c203bb2a5a38,5d55f0ee240f0f01f917025b
47835,5d5208e14272c203bb2a5a39,5d55f0ee240f0f01f917025b
7079,5d5208e14272c203bb2a5a3a,5d55f0ee240f0f01f917025b
8397,5d5208e04272c203bb2a5a23,5d55f0ee240f0f01f917025a
2242,5d5208e04272c203bb2a5a24,5d55f0ee240f0f01f917025a
3983,5d5208e04272c203bb2a5a25,5d55f0ee240f0f01f917025a
2169,5d5208e04272c203bb2a5a26,5d55f0ee240f0f01f917025a
5514,5d5208e04272c203bb2a5a27,5d55f0ee240f0f01f917025a
5009,5d5208e04272c203bb2a5a28,5d55f0ee240f0f01f917025a
25007,5d5208e04272c203bb2a5a29,5d55f0ee240f0f01f917025a
14739,5d5208e04272c203bb2a5a2a,5d55f0ee240f0f01f917025a
344,5d5208e04272c203bb2a5a2b,5d55f0ee240f0f01f917025a
187796,5d5208e04272c203bb2a5a2c,5d55f0ee240f0f01f917025a
4809,5d5208e04272c203bb2a5a2d,5d55f0ee240f0f01f917025a
5384,5d5208e04272c203bb2a5a2e,5d55f0ee240f0f01f917025a
40674,5d5208e14272c203bb2a5a2f,5d55f0ee240f0f01f917025a
67576,5d5208e14272c203bb2a5a30,5d55f0ee240f0f01f917025a
767,5d5208e14272c203bb2a5a31,5d55f0ee240f0f01f917025a
753,5d5208e14272c203bb2a5a32,5d55f0ee240f0f01f917025a
2135,5d5208e14272c203bb2a5a33,5d55f0ee240f0f01f917025a
728,5d5208e14272c203bb2a5a34,5d55f0ee240f0f01f917025a
27993,5d5208e14272c203bb2a5a35,5d55f0ee240f0f01f917025a
14484,5d5208e14272c203bb2a5a36,5d55f0ee240f0f01f917025a
16755,5d5208e14272c203bb2a5a37,5d55f0ee240f0f01f917025a
2292,5d5208e14272c203bb2a5a38,5d55f0ee240f0f01f917025a
9229,5d5208e14272c203bb2a5a39,5d55f0ee240f0f01f917025a
604,5d5208e14272c203bb2a5a3a,5d55f0ee240f0f01f917025a
43562,5d5208e04272c203bb2a5a23,5d55f0ee240f0f01f9170259
10573,5d5208e04272c203bb2a5a24,5d55f0ee240f0f01f9170259
14309,5d5208e04272c203bb2a5a25,5d55f0ee240f0f01f9170259
11147,5d5208e04272c203bb2a5a26,5d55f0ee240f0f01f9170259
24883,5d5208e04272c203bb2a5a27,5d55f0ee240f0f01f9170259
52421,5d5208e04272c203bb2a5a28,5d55f0ee240f0f01f9170259
11546,5d5208e04272c203bb2a5a29,5d55f0ee240f0f01f9170259
16896,5d5208e04272c203bb2a5a2a,5d55f0ee240f0f01f9170259
520,5d5208e04272c203bb2a5a2b,5d55f0ee240f0f01f9170259
47972,5d5208e04272c203bb2a5a2c,5d55f0ee240f0f01f9170259
28962,5d5208e04272c203bb2a5a2d,5d55f0ee240f0f01f9170259
25559,5d5208e04272c203bb2a5a2e,5d55f0ee240f0f01f9170259
11367,5d5208e14272c203bb2a5a2f,5d55f0ee240f0f01f9170259
38108,5d5208e14272c203bb2a5a30,5d55f0ee240f0f01f9170259
6596,5d5208e14272c203bb2a5a31,5d55f0ee240f0f01f9170259
3912,5d5208e14272c203bb2a5a32,5d55f0ee240f0f01f9170259
9949,5d5208e14272c203bb2a5a33,5d55f0ee240f0f01f9170259
4956,5d5208e14272c203bb2a5a34,5d55f0ee240f0f01f9170259
193415,5d5208e14272c203bb2a5a35,5d55f0ee240f0f01f9170259
4139,5d5208e14272c203bb2a5a36,5d55f0ee240f0f01f9170259
11694,5d5208e14272c203bb2a5a37,5d55f0ee240f0f01f9170259
8475,5d5208e14272c203bb2a5a38,5d55f0ee240f0f01f9170259
38273,5d5208e14272c203bb2a5a39,5d55f0ee240f0f01f9170259
5327,5d5208e14272c203bb2a5a3a,5d55f0ee240f0f01f9170259
3014,5d5208e04272c203bb2a5a23,5d55f0ee240f0f01f917025d
1441,5d5208e04272c203bb2a5a24,5d55f0ee240f0f01f917025d
826,5d5208e04272c203bb2a5a25,5d55f0ee240f0f01f917025d
729,5d5208e04272c203bb2a5a26,5d55f0ee240f0f01f917025d
8445,5d5208e04272c203bb2a5a27,5d55f0ee240f0f01f917025d
3007,5d5208e04272c203bb2a5a28,5d55f0ee240f0f01f917025d
1583,5d5208e04272c203bb2a5a29,5d55f0ee240f0f01f917025d
1416,5d5208e04272c203bb2a5a2a,5d55f0ee240f0f01f917025d
62,5d5208e04272c203bb2a5a2b,5d55f0ee240f0f01f917025d
10175,5d5208e04272c203bb2a5a2c,5d55f0ee240f0f01f917025d
1892,5d5208e04272c203bb2a5a2d,5d55f0ee240f0f01f917025d
164,5d5208e04272c203bb2a5a2e,5d55f0ee240f0f01f917025d
2662,5d5208e14272c203bb2a5a2f,5d55f0ee240f0f01f917025d
4878,5d5208e14272c203bb2a5a30,5d55f0ee240f0f01f917025d
367,5d5208e14272c203bb2a5a31,5d55f0ee240f0f01f917025d
284,5d5208e14272c203bb2a5a32,5d55f0ee240f0f01f917025d
382,5d5208e14272c203bb2a5a33,5d55f0ee240f0f01f917025d
268,5d5208e14272c203bb2a5a34,5d55f0ee240f0f01f917025d
19063,5d5208e14272c203bb2a5a35,5d55f0ee240f0f01f917025d
12,5d5208e14272c203bb2a5a36,5d55f0ee240f0f01f917025d
1825,5d5208e14272c203bb2a5a37,5d55f0ee240f0f01f917025d
539,5d5208e14272c203bb2a5a38,5d55f0ee240f0f01f917025d
4081,5d5208e14272c203bb2a5a39,5d55f0ee240f0f01f917025d
245,5d5208e14272c203bb2a5a3a,5d55f0ee240f0f01f917025d
144769,5d5208e04272c203bb2a5a23,5d55f0ee240f0f01f9170258
52249,5d5208e04272c203bb2a5a24,5d55f0ee240f0f01f9170258
39018,5d5208e04272c203bb2a5a25,5d55f0ee240f0f01f9170258
28767,5d5208e04272c203bb2a5a26,5d55f0ee240f0f01f9170258
121256,5d5208e04272c203bb2a5a27,5d55f0ee240f0f01f9170258
87709,5d5208e04272c203bb2a5a28,5d55f0ee240f0f01f9170258
106731,5d5208e04272c203bb2a5a29,5d55f0ee240f0f01f9170258
74317,5d5208e04272c203bb2a5a2a,5d55f0ee240f0f01f9170258
6665,5d5208e04272c203bb2a5a2b,5d55f0ee240f0f01f9170258
489536,5d5208e04272c203bb2a5a2c,5d55f0ee240f0f01f9170258
69663,5d5208e04272c203bb2a5a2d,5d55f0ee240f0f01f9170258
120117,5d5208e04272c203bb2a5a2e,5d55f0ee240f0f01f9170258
95676,5d5208e14272c203bb2a5a2f,5d55f0ee240f0f01f9170258
160792,5d5208e14272c203bb2a5a30,5d55f0ee240f0f01f9170258
45059,5d5208e14272c203bb2a5a31,5d55f0ee240f0f01f9170258
3679,5d5208e14272c203bb2a5a32,5d55f0ee240f0f01f9170258
31269,5d5208e14272c203bb2a5a33,5d55f0ee240f0f01f9170258
24958,5d5208e14272c203bb2a5a34,5d55f0ee240f0f01f9170258
569527,5d5208e14272c203bb2a5a35,5d55f0ee240f0f01f9170258
55866,5d5208e14272c203bb2a5a36,5d55f0ee240f0f01f9170258
81922,5d5208e14272c203bb2a5a37,5d55f0ee240f0f01f9170258
27621,5d5208e14272c203bb2a5a38,5d55f0ee240f0f01f9170258
12997,5d5208e14272c203bb2a5a39,5d55f0ee240f0f01f9170258
27816,5d5208e14272c203bb2a5a3a,5d55f0ee240f0f01f9170258
197081,5d5208e04272c203bb2a5a23,5d55f0ee240f0f01f917025c
29614,5d5208e04272c203bb2a5a24,5d55f0ee240f0f01f917025c
46211,5d5208e04272c203bb2a5a25,5d55f0ee240f0f01f917025c
43798,5d5208e04272c203bb2a5a26,5d55f0ee240f0f01f917025c
79603,5d5208e04272c203bb2a5a27,5d55f0ee240f0f01f917025c
82152,5d5208e04272c203bb2a5a28,5d55f0ee240f0f01f917025c
169052,5d5208e04272c203bb2a5a29,5d55f0ee240f0f01f917025c
107462,5d5208e04272c203bb2a5a2a,5d55f0ee240f0f01f917025c
4813,5d5208e04272c203bb2a5a2b,5d55f0ee240f0f01f917025c
897359,5d5208e04272c203bb2a5a2c,5d55f0ee240f0f01f917025c
11693,5d5208e04272c203bb2a5a2d,5d55f0ee240f0f01f917025c
94428,5d5208e04272c203bb2a5a2e,5d55f0ee240f0f01f917025c
212165,5d5208e14272c203bb2a5a2f,5d55f0ee240f0f01f917025c
47895,5d5208e14272c203bb2a5a30,5d55f0ee240f0f01f917025c
24312,5d5208e14272c203bb2a5a31,5d55f0ee240f0f01f917025c
16457,5d5208e14272c203bb2a5a32,5d55f0ee240f0f01f917025c
29793,5d5208e14272c203bb2a5a33,5d55f0ee240f0f01f917025c
13815,5d5208e14272c203bb2a5a34,5d55f0ee240f0f01f917025c
659479,5d5208e14272c203bb2a5a35,5d55f0ee240f0f01f917025c
95768,5d5208e14272c203bb2a5a36,5d55f0ee240f0f01f917025c
111665,5d5208e14272c203bb2a5a37,5d55f0ee240f0f01f917025c
40036,5d5208e14272c203bb2a5a38,5d55f0ee240f0f01f917025c
98719,5d5208e14272c203bb2a5a39,5d55f0ee240f0f01f917025c
17785,5d5208e14272c203bb2a5a3a,5d55f0ee240f0f01f917025c
